brief_id,model,language,clip_score
MB101,flux,de,28.764
MB101,flux,fr,25.4117
MB101,flux,es,28.5543
MB102,sd15,de,18.5355
MB102,sd15,fr,28.3225
MB102,sd15,es,28.6002
MB102,flux,de,29.8344
MB102,flux,fr,36.0619
MB102,flux,es,35.6259
MB103,sd15,de,26.9167
MB103,sd15,fr,24.7681
MB103,sd15,es,21.3055
MB103,flux,de,30.276
MB103,flux,fr,23.5141
MB103,flux,es,24.4472
MB104,sd15,de,26.2823
MB104,sd15,fr,27.9867
MB104,sd15,es,19.2659
MB104,flux,de,28.163
MB104,flux,fr,34.6413
MB104,flux,es,27.5279
MB105,sd15,de,25.4992
MB105,sd15,fr,26.2601
MB105,sd15,es,24.3907
MB105,flux,de,31.8781
MB105,flux,fr,33.0154
MB105,flux,es,29.7703
MB106,sd15,de,29.2599
MB106,sd15,fr,25.096
MB106,sd15,es,30.1858
MB106,flux,de,35.1526
MB106,flux,fr,34.2401
MB106,flux,es,32.5776
MB107,sd15,de,22.0437
MB107,sd15,fr,27.4595
MB107,sd15,es,22.8209
MB107,flux,de,33.0371
MB107,flux,fr,30.3362
MB107,flux,es,35.9793
MB108,sd15,de,26.4
MB108,sd15,fr,35.6179
MB108,sd15,es,30.5327
MB108,flux,de,34.5048
MB108,flux,fr,33.6102
MB108,flux,es,28.7034
MB109,sd15,de,26.449
MB109,sd15,fr,26.6329
MB109,sd15,es,30.3176
MB109,flux,de,35.1623
MB109,flux,fr,36.8705
MB109,flux,es,31.5681
MB110,sd15,de,28.4583
MB110,sd15,fr,25.7984
MB110,sd15,es,28.6717
MB110,flux,de,26.7288
MB110,flux,fr,29.7416
MB110,flux,es,33.5408
MB111,sd15,de,21.3748
MB111,sd15,fr,22.1913
MB111,sd15,es,26.9431
MB111,flux,de,29.6815
MB111,flux,fr,26.7357
MB111,flux,es,30.4864
MB112,sd15,de,28.1782
MB112,sd15,fr,35.0846
MB112,sd15,es,30.4604
MB112,flux,de,32.6739
MB112,flux,fr,35.2821
MB112,flux,es,32.5419
MB113,sd15,de,27.5712
MB113,sd15,fr,34.7236
MB113,sd15,es,29.5779
MB113,flux,de,32.7662
MB113,flux,fr,35.7108
MB113,flux,es,36.4438
MB114,sd15,de,25.8551
MB114,sd15,fr,26.9378
MB114,sd15,es,30.3701
MB114,flux,de,34.8093
MB114,flux,fr,35.7355
MB114,flux,es,33.438
MB115,sd15,de,33.7632
MB115,sd15,fr,34.1613
MB115,sd15,es,22.2407
MB115,flux,de,35.2403
MB115,flux,fr,31.3098
MB115,flux,es,31.9985
MB116,sd15,de,31.2454
MB116,sd15,fr,29.646
MB116,sd15,es,28.0593
MB116,flux,de,30.2734
MB116,flux,fr,31.4599
MB116,flux,es,30.6525
MB117,sd15,de,29.0581
MB117,sd15,fr,29.6249
MB117,sd15,es,29.4863
MB117,flux,de,32.0692
MB117,flux,fr,34.6424
MB117,flux,es,34.5449
MB118,sd15,de,33.1519
MB118,sd15,fr,27.0573
MB118,sd15,es,26.5747
MB118,flux,de,28.1299
MB118,flux,fr,29.7094
MB118,flux,es,26.7303
MB119,sd15,de,27.9556
MB119,sd15,fr,23.3051
MB119,sd15,es,30.8723
MB119,flux,de,37.2591
MB119,flux,fr,37.3401
MB119,flux,es,35.8079
MB120,sd15,de,34.7879
MB120,sd15,fr,36.5628
MB120,sd15,es,33.5294
MB120,flux,de,30.7663
MB120,flux,fr,32.1563
MB120,flux,es,31.9846
MB121,sd15,de,26.3724
MB121,sd15,fr,34.4577
MB121,sd15,es,18.9324
MB121,flux,de,37.5866
MB121,flux,fr,43.1247
MB121,flux,es,33.1611
MB122,sd15,de,31.9139
MB122,sd15,fr,36.1498
MB122,sd15,es,28.5886
MB122,flux,de,34.7972
MB122,flux,fr,35.8164
MB122,flux,es,32.7946
MB123,sd15,de,34.5008
MB123,sd15,fr,33.5373
MB123,sd15,es,30.0347
MB123,flux,de,38.8703
MB123,flux,fr,37.9199
MB123,flux,es,34.057
MB124,sd15,de,20.9061
MB124,sd15,fr,30.2865
MB124,sd15,es,28.1063
MB124,flux,de,32.6459
MB124,flux,fr,31.6128
MB124,flux,es,35.4921
MB125,sd15,de,32.9257
MB125,sd15,fr,29.2199
MB125,sd15,es,24.5066
MB125,flux,de,35.5248
MB125,flux,fr,35.6449
MB125,flux,es,37.7265
MB126,sd15,de,26.6971
MB126,sd15,fr,29.4935
MB126,sd15,es,36.1412
MB126,flux,de,37.7174
MB126,flux,fr,38.4336
MB126,flux,es,34.8888
MB127,sd15,de,28.7797
MB127,sd15,fr,34.1826
MB127,sd15,es,32.9622
MB127,flux,de,39.5
MB127,flux,fr,36.0719
MB127,flux,es,23.7725
MB128,sd15,de,32.4077
MB128,sd15,fr,33.1411
MB128,sd15,es,28.2797
MB128,flux,de,39.3922
MB128,flux,fr,41.7417
MB128,flux,es,33.6466
MB129,sd15,de,34.2511
MB129,sd15,fr,29.8042
MB129,sd15,es,31.9231
MB129,flux,de,33.9875
MB129,flux,fr,36.8786
MB129,flux,es,32.0322
MB130,sd15,de,30.4248
MB130,sd15,fr,29.0915
MB130,sd15,es,28.85
MB130,flux,de,35.7102
MB130,flux,fr,32.2461
MB130,flux,es,27.1033
MB131,sd15,de,25.753
MB131,sd15,fr,33.3724
MB131,sd15,es,29.0048
MB131,flux,de,32.8093
MB131,flux,fr,29.4681
MB131,flux,es,30.4153
MB132,sd15,de,27.5243
MB132,sd15,fr,31.8604
MB132,sd15,es,30.3949
MB132,flux,de,28.7321
MB132,flux,fr,33.5708
MB132,flux,es,34.3798
MB133,sd15,de,29.0166
MB133,sd15,fr,26.0765
MB133,sd15,es,27.2696
MB133,flux,de,31.9126
MB133,flux,fr,31.6408
MB133,flux,es,33.3382
MB134,sd15,de,30.5508
MB134,sd15,fr,33.7228
MB134,sd15,es,36.6864
MB134,flux,de,33.2775
MB134,flux,fr,29.2796
MB134,flux,es,30.5295
MB135,sd15,de,27.811
MB135,sd15,fr,35.6853
MB135,sd15,es,22.6955
MB135,flux,de,29.4993
MB135,flux,fr,34.7598
MB135,flux,es,32.5709
MB136,sd15,de,26.5781
MB136,sd15,fr,28.6525
MB136,sd15,es,23.2373
MB136,flux,de,30.3108
MB136,flux,fr,27.3889
MB136,flux,es,26.4331
MB137,sd15,de,29.9765
MB137,sd15,fr,36.8982
MB137,sd15,es,29.0161
MB137,flux,de,31.5066
MB137,flux,fr,30.6768
MB137,flux,es,32.0491
MB138,sd15,de,23.5145
MB138,sd15,fr,28.9019
MB138,sd15,es,26.7026
MB138,flux,de,32.4564
MB138,flux,fr,30.8005
MB138,flux,es,38.2058
MB139,sd15,de,30.8809
MB139,sd15,fr,29.4921
MB139,sd15,es,26.0682
MB139,flux,de,35.3817
