model,language,prompt_id,seed,source,category,clip_score,mclip_score
sd15,fr,GB033,42,GenAI-Bench,Attribute,29.648727,0.313658
sd15,fr,GB034,42,GenAI-Bench,Attribute,27.658099,0.26433
sd15,fr,GB035,42,GenAI-Bench,Attribute,37.234935,0.343405
sd15,fr,GB036,42,GenAI-Bench,Attribute,26.849014,0.267495
sd15,fr,GB037,42,GenAI-Bench,Attribute,27.192396,0.304393
sd15,fr,GB038,42,GenAI-Bench,Attribute,28.459191,0.308799
sd15,fr,GB039,42,GenAI-Bench,Attribute,29.831967,0.303436
sd15,fr,GB040,42,GenAI-Bench,Attribute,25.035056,0.26833
sd15,fr,GB041,42,GenAI-Bench,Attribute,22.366664,0.273369
sd15,fr,GB042,42,GenAI-Bench,Attribute,26.361236,0.291854
sd15,fr,GB043,42,GenAI-Bench,Attribute,29.833642,0.321137
sd15,fr,GB044,42,GenAI-Bench,Attribute,29.630861,0.351723
sd15,fr,GB045,42,GenAI-Bench,Attribute,29.683995,0.279913
sd15,fr,GB046,42,GenAI-Bench,Attribute,38.042578,0.372785
sd15,fr,GB047,42,GenAI-Bench,Attribute,31.217515,0.291642
sd15,fr,GB048,42,GenAI-Bench,Attribute,26.440939,0.293206
sd15,fr,GB049,42,GenAI-Bench,Attribute,31.947622,0.361821
sd15,fr,GB050,42,GenAI-Bench,Attribute,20.013799,0.227005
sd15,es,DB001,42,DrawBench,Colors,21.692356,0.222152
sd15,es,DB002,42,DrawBench,Colors,27.193239,0.264802
sd15,es,DB003,42,DrawBench,Colors,29.075325,0.292086
sd15,es,DB004,42,DrawBench,Colors,26.340985,0.256581
sd15,es,DB005,42,DrawBench,Colors,24.472106,0.25232
sd15,es,DB006,42,DrawBench,Colors,30.208963,0.244316
sd15,es,DB007,42,DrawBench,Colors,31.370428,0.317388
sd15,es,DB008,42,DrawBench,Colors,28.683695,0.287375
sd15,es,DB009,42,DrawBench,Colors,33.094496,0.312998
sd15,es,DB010,42,DrawBench,Colors,29.802924,0.315666
sd15,es,DB011,42,DrawBench,Colors,32.166061,0.304929
sd15,es,DB012,42,DrawBench,Colors,33.797097,0.309433
sd15,es,DB013,42,DrawBench,Colors,27.956867,0.277045
sd15,es,DB014,42,DrawBench,Counting,27.825171,0.292161
sd15,es,DB015,42,DrawBench,Counting,27.832785,0.289253
sd15,es,DB016,42,DrawBench,Counting,23.513508,0.276094
sd15,es,DB017,42,DrawBench,Counting,28.621155,0.294627
sd15,es,DB018,42,DrawBench,Counting,32.333443,0.319772
sd15,es,DB019,42,DrawBench,Counting,23.678482,0.275637
sd15,es,DB020,42,DrawBench,Counting,29.09717,0.298112
sd15,es,DB021,42,DrawBench,Counting,24.293455,0.276921
sd15,es,DB022,42,DrawBench,Counting,23.980947,0.263664
sd15,es,DB023,42,DrawBench,Counting,22.066151,0.258291
sd15,es,DB024,42,DrawBench,Counting,22.292943,0.229973
sd15,es,DB025,42,DrawBench,Counting,32.144323,0.311276
sd15,es,DB026,42,DrawBench,Counting,23.088162,0.268503
sd15,es,DB027,42,DrawBench,Positional,31.549883,0.3244
sd15,es,DB028,42,DrawBench,Positional,18.762685,0.222222
sd15,es,DB029,42,DrawBench,Positional,29.111445,0.277533
sd15,es,DB030,42,DrawBench,Positional,21.198213,0.223728
sd15,es,DB031,42,DrawBench,Positional,30.41701,0.314569
sd15,es,DB032,42,DrawBench,Positional,37.840918,0.322661
sd15,es,DB033,42,DrawBench,Positional,27.741361,0.288544
sd15,es,DB034,42,DrawBench,Positional,24.700202,0.272575
sd15,es,DB035,42,DrawBench,Positional,25.70636,0.273664
sd15,es,DB036,42,DrawBench,Positional,27.035025,0.270585
sd15,es,DB037,42,DrawBench,Positional,22.451663,0.232023
sd15,es,DB038,42,DrawBench,Positional,28.540984,0.305621
sd15,es,DB039,42,DrawBench,Text,25.492001,0.253208
sd15,es,DB040,42,DrawBench,Text,30.236512,0.31406
sd15,es,DB041,42,DrawBench,Text,32.920545,0.318855
sd15,es,DB042,42,DrawBench,Text,27.909461,0.244883
sd15,es,DB043,42,DrawBench,Text,22.715339,0.260001
sd15,es,DB044,42,DrawBench,Text,25.162637,0.248577
sd15,es,DB045,42,DrawBench,Text,24.959716,0.25016
sd15,es,DB046,42,DrawBench,Text,19.63294,0.198046
sd15,es,DB047,42,DrawBench,Text,31.814653,0.331059
sd15,es,DB048,42,DrawBench,Text,31.879866,0.327251
sd15,es,DB049,42,DrawBench,Text,35.152215,0.372677
sd15,es,DB050,42,DrawBench,Text,29.157221,0.243987
sd15,es,GB001,42,GenAI-Bench,Spatial Relation,27.659541,0.270561
sd15,es,GB002,42,GenAI-Bench,Spatial Relation,30.813885,0.261952
sd15,es,GB003,42,GenAI-Bench,Spatial Relation,25.812781,0.293461
sd15,es,GB004,42,GenAI-Bench,Spatial Relation,33.84316,0.310538
sd15,es,GB005,42,GenAI-Bench,Spatial Relation,31.513575,0.335078
sd15,es,GB006,42,GenAI-Bench,Spatial Relation,33.471835,0.338253
sd15,es,GB007,42,GenAI-Bench,Spatial Relation,32.033002,0.302995
sd15,es,GB008,42,GenAI-Bench,Spatial Relation,29.985905,0.309969
sd15,es,GB009,42,GenAI-Bench,Spatial Relation,30.491203,0.308062
sd15,es,GB010,42,GenAI-Bench,Spatial Relation,32.919079,0.280399
sd15,es,GB011,42,GenAI-Bench,Spatial Relation,24.558878,0.267544
sd15,es,GB012,42,GenAI-Bench,Spatial Relation,27.507582,0.275852
sd15,es,GB013,42,GenAI-Bench,Spatial Relation,35.634944,0.338318
sd15,es,GB014,42,GenAI-Bench,Spatial Relation,21.393748,0.265252
sd15,es,GB015,42,GenAI-Bench,Spatial Relation,27.297166,0.309341
sd15,es,GB016,42,GenAI-Bench,Spatial Relation,27.207804,0.269641
sd15,es,GB017,42,GenAI-Bench,Spatial Relation,25.177306,0.261372
sd15,es,GB018,42,GenAI-Bench,Spatial Relation,17.902054,0.217878
sd15,es,GB019,42,GenAI-Bench,Spatial Relation,26.579645,0.298341
sd15,es,GB020,42,GenAI-Bench,Spatial Relation,21.742876,0.285447
sd15,es,GB021,42,GenAI-Bench,Spatial Relation,27.411252,0.316055
sd15,es,GB022,42,GenAI-Bench,Spatial Relation,26.909113,0.242027
sd15,es,GB023,42,GenAI-Bench,Spatial Relation,27.294111,0.270203
sd15,es,GB024,42,GenAI-Bench,Spatial Relation,31.728226,0.330841
sd15,es,GB025,42,GenAI-Bench,Spatial Relation,24.326758,0.275174
sd15,es,GB026,42,GenAI-Bench,Attribute,29.493946,0.299886
sd15,es,GB027,42,GenAI-Bench,Attribute,15.01289,0.174938
sd15,es,GB028,42,GenAI-Bench,Attribute,26.850277,0.261888
sd15,es,GB029,42,GenAI-Bench,Attribute,27.804506,0.306694
sd15,es,GB030,42,GenAI-Bench,Attribute,31.357634,0.322502
sd15,es,GB031,42,GenAI-Bench,Attribute,30.670354,0.318607
sd15,es,GB032,42,GenAI-Bench,Attribute,25.619471,0.25093
sd15,es,GB033,42,GenAI-Bench,Attribute,27.055877,0.277936
sd15,es,GB034,42,GenAI-Bench,Attribute,20.955479,0.264139
